Title,Location,Company,Salary,Sponsored,Description
Engineer,Islamabad,United Nations Pakistan,None,Organic,"TERMS OF REFERENCE
Background:
The United Nations Human Settlements Programme (UN-Habitat) is mandated by the UN General Assembly to promote socially and environmentally sustainable communities, towns and cities with the goal of providing adequate shelter for all. UN-Habitat’s unique niche as an important United Nations agency in the humanitarian arena is through its focus on housing, land and settlement planning. UN-Habitat prioritizes resilience and good practices that reduce vulnerabilities and risks before and after disasters.
UN-Habitat provides a cross-cutting approach for reducing vulnerabilities and risks before and after the disasters. The organization’s approach to disaster risk management/disaster risk reduction, reconstruction and recovery is based on its long-standing experience in working closely with the communities, provincial and local authorities to meet their needs for land, shelter, basic services, secure tenure and infrastructure while simultaneously addressing the longer-term development needs and suggesting advocating on policy interventions guidelines.
UH-Habitat Pakistan has vast experience in DRR/DRM. Under the One UN Programme 2009-2012 (OP-I), UN-Habitat led the component on Community Based Disaster Risk Management (CBDRM) that focused on empowering communities, vulnerable groups, grassroots organizations and local authorities in high risk areas and enhancing their resources and capacities to prepare, respond and recover.
Pakistan is beset with plethora of natural and human induced hazards. Most of the school buildings and educational institutions do not comply with the hazards due to lack of resistance designs, preparedness, response plans, and poor construction methods. The historical data of loss and damages caused by disasters substantiates that Khyber Pakhtunkhwa (KP) is one of the most highly affected provinces of Pakistan that has been impacted by every major disaster that hit the country in the last decades. Existing educational infrastructure in KP is facing wear and tear of the years' neglect which is further aggravated by conflicts and natural disasters of the approximately 7.1 million children between the ages 5-16 in KP, around 2.5 million children are out of school, owing to the grossly ill-equipped public schooling system to meet the needs of a growing population.
Duties & Responsibilities
Under the overall supervision of the Regional Office and direct supervision of Habitat Programme Manager (HPM) and Project Manager the incumbent will have the following duties and responsibilities:
Provide guidance for supervising and monitoring all technical aspects of the project activities
Supervise site implementation activities and assist towards developing specifications for engineering goods and services
Formulate and manage hazard resistant technical trainings for the staff, implementing partners, local authorities and community and maintain the records of the events.
Analyze implementation work plans and make recommendations for improvements as necessary.
Review the findings of the technical assessment and develop the technical designs for retrofitting in schools accordingly
Lead the process of development of priority schema for the Education department KP.
Select schools for retrofitting purposes.
Ensure accurate record keeping, construction inspections, quality audits and records of actual quantities maintained, drawings are kept up to date and variations and addendums are issued correctly.
Lead the Development of retrofitting, repair and strengthening guidelines.
Ensure that the guidelines are vetted and endorsed by all the relevant departments.
Prepare project technical information, drawings, specifications and BOQs as required.
Travel to the field as required in consultation with the Project Manager and the team
Perform any other task assigned by the supervisor.
Required Qualification & Experience
Bachelor’s degree in civil engineering or equivalent.
Minimum 10 years’ work experience in construction building, WASH, and Solid Waste Management.
Should have a good command on Auto Cad and other relevant tools/software.
Knowledge of material and workmanship quality control.
Experience in post-earthquake reconstruction programmes an advantage.
Knowledge of Government systems and advantage.
Familiar with government designs and specifications.
Experience in managing, monitoring and evaluating projects and training of local human resources.
Experience working in INGOs an advantage.
Excellent communication and interpersonal skills essential.
Report writing, time and resource management, interpersonal, business communication and advanced computing skills including MS-Office applications
Commitment to beneficiary accountability and humanitarian ethics.
Ability to supervise, direct, coach and mentor staff.
Knowledge of UN rules and regulations is an advantage.
Experience in emergency and post disaster area is preferred.
Excellent interpersonal and communication skills.

Required Competencies

Ability to work under pressure and difficult conditions
Demonstrates integrity by modeling the UN values and ethical standards
Ability of work effectively and harmoniously with colleagues by treating all people fairly without favoritism and by understanding the value of diversity
Shares knowledge and experience and contributes to UN-Habitat practice areas and actively works towards continuing personal learning and development
Ability to lead strategic planning, results-based management and reporting
Ability to go beyond established procedures and models, propose new approaches which expand the range of programmes.
Ability to work with minimal supervision
Focuses on impact and result for the client and responds positively to critical feedback
Builds strong relationship with clients and external actors
Carry out field survey and documentation of construction practices.
Provide technical support for programme development.
Provide technical training to Government and NGO staff.
Liaise with Government authorities.
Provide technical training and advice on hazard resistant and improved construction to building contractors,
Provide technical orientation, advice and support to representatives and other interested parties.
Provide technical support to building materials producers and suppliers and others involved in ensuring quality construction.
Monitor construction progress and give on site advice.
Assist in other initiatives promoting hazard resistant techniques and improved practices, as determined by the UN-Habitat team.
Carry out building inspection
Provide support to prepare all required project documentation and reports for UN-Habitat.
To ensure highest technical specifications and standards in work related to Rain Water Harvesting, within available resources and taking into consideration the indigenous techniques
Review and assess the technical designs and specifications, including those submitted by the Engineers in the provinces; final approval of such design and specs
Work together with international experts, WASH/DRR specialists and community mobilization specialist for writing guiding principles and guidelines for implementation of projects (direct implementation/through partnership).
Prepare project technical information, drawings, specifications and BOQs as required
Liaise with all stakeholders including Pakistani Government and local authorities for dissemination of information and implementation of projects.
Perform any other task assigned by the supervisor.
Required Languages
Proficiency in English and Urdu is essential. Knowledge of other local languages is an advantage.
Remuneration
Payments will be made
monthly and based on deliverables over the contract period. The rate is determined by functions performed and experience of the contractor. The fee will be paid as per agreement."
Intern - Junior Software Engineer / .Net Developer,Islamabad,Noorax,None,Organic,"NoorAX is offering unpaid internship program at their office. People who are willing to build a career in web development should apply.
Job Description
Exceptional skills in logical and analytical thinking required.
Excellent Object Oriented Programming concepts.
Working opportunity on enterprise application in .Net (Web and Desktop)
Have good hands-on experience working on Academic Projects.
Internship for 3 months
In return we offer:
IT Industry experience & Certificate
Opportunity to grow and learn fast.
A friendly and highly conducive work environment



Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
Software Engineer,Islamabad,Teradata,None,Sponsored,"Requisition Number: 206273 Position Title: Analytics Consulting II External Description: Teradata GDC Pakistan is seeking JAVA/J2EE with Angular 6-7 professional.In the role of software engineering, you will interface with key stakeholders and apply your technical proficiency across different stages of the Software Development Life Cycle including Requirements Elicitation, Application Architecture definition and Design. You will play an important role in creating the high-level design artifacts. You will also deliver high quality code deliverables for modules, visualizations and driving team for all types of testing and support activities related to implementation, transition and warranty. You will be part of a learning culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.Location for this position is Islamabad, Pakistan. This position may require travel and / or relocation. Responsibilities Requirements Desirable Personal skills CountryEEOText_Description: City: Islamabad State: Islamabad Community / Marketing Title: Software Engineer Job Category: Consulting Company Profile: With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence. Location_formattedLocationLong: Islamabad, Islamabad PK"
Software Engineer (.NET Development),Islamabad,ALTUMED (Cube Healthcare Systems Pvt Ltd),None,Organic,"Job Description
Cube Healthcare Systems is a subsidiary of the US Based Healthcare IT Company; ALTUMED, providing healthcare solutions to the clients based in the US. Presently, CHS is the biggest company at KPITB, with fast growing healthcare IT services and product base.
As a healthcare solution provider, CHS is successfully carrying out revenue management services for its clients based in Michigan, USA. Our product: ALTUMED, a Revenue Cycle Management Software takes Medical Billing to another degree of automation and advancement.
In Pakistan, with its main Office in Abbottabad, AltuMed has offices in Islamabad and Lahore as well where the extremely talented business teams are working hard to improve the user experience and process for the clients.
We, at CHS, are currently looking for a Software Engineer with experience in Back-end Development to join our dynamic team of Business Technology.
Location: Abbottabad (Preferable) OR Islamabad ( This role will require frequent travel between Islamabad and Abbottabad.)
REQUIREMENT:
Expertise In:
ASP.NET
.NET Core (Preferable)
SQL
RESTful Services
Web API
MVC
Angular JS (Preferable)
JQuery
Crystal Reports
Experience with Web-based applications
QUALIFICATION:
- Experience: Around 3-4 years of work experience preferably in the US healthcare industry
- Qualification: BS/MS CS/ S.E
- Good Communication Skills
- Experience in the US Healthcare Industry is a plus
- Able to apply understanding of applicable regulations (e.g., HIPAA, SOX, HL7).
- Ability to adapt to change, work independently and manage teams, organize work effectively and take initiative in fast-paced work environment while managing multiple tasks and deliverable simultaneously.
You will get to work with the team of highly enterprising Tech professionals on new technologies in a challenging environment.
COMPENSATION:
Market competitive salary, accommodation allowance, health insurance, paid holidays etc.
For more information, please visit:
www.altumed.com
Job Type: Full-time
Experience:
c#: 4 years (Required)"
Software Engineer (.NET),Islamabad,Evolved Systems (Private) Limited,None,Organic,"Evolved Systems is seeking to take onboard a young & dynamic Software Engineer (.NET) for their cloud-based applications. This is a challenging role with lots of learning opportunities and room to prove one’s mettle. The selected candidate will be working alongside experienced professionals on highly sophisticated applications. The organization offers congenial working environment and a promising career progression.
Main Responsibilities:
Design, code, and develop complex software systems.
Assist Lead Technical Ops throughout different phases of PDLC.
Code Testing when required and assigned.
Be part of the continuous improvement initiatives.
Ensure that proper documentation of particular development cycles is maintained.
Work against definite deadlines for deliverables.



Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
Software QA Engineer,Islamabad,En Route Technologies,None,Organic,"The Software QA Engineer responsibilities include (but not limited to):
Responsibilities:
There is a key part of the QA in team for our FMS (Fleet Management System) software.
Create test plans, maintain documentation and perform testing on multiple devices, platforms, and browsers
Identify, analyses, and document defects, questionable functions, errors, and inconsistencies in web and mobile applications as well as functionality of FMS(Fleet Management System), outputs, online screens, and content
Taking ownership of personal development
Collaboration with FMS (Fleet Management System) Product, Design, and Customer Success teams
Collaboration with FMS (Fleet Management System) software engineering and embedded systems development teams
Working as part of a growing, highly-motivated, tightly-knit team - using Agile Testing Methodologies
Taking ownership of E2E testing
Qualifications:
3+ years’ experience in Software Testing
Keen eye for attention to details
Flare for testing map-based real time systems
Great communication and interpersonal skills
Knowledge of Agile methodologies, Scrum, and Software Testing Life Cycles
Ability to take ownership of all manual and automated testing tasks
Ability to understand Software Design Specifications
Ability to create boundary value, positive, and negative test cases
Ability to create comprehensive test plans, checklist
Ability to execute key QA testing semantics i.e Regression, Integration, Unit and Sanity
Ability to read data and track issue between Client and Server
Knowledge of issue tracking tools (JIRA will be preferable)
Knowledge of Test Management tools (HipTest will be preferable)
Knowledge of Client-Server Communication (Sessions, RESTFUL Architecture, Connection Types)
Knowledge of OOP, Data Structures, and Algorithms
Keen towards programing languages and code reviews
Interest in commercial vehicles such as trucks is a big plus!
Skills:
Test management tool (HipTestBug tracking tool (Jira)Black/ White box testingAutomated TestingManual TestingCustomer Service Manager Certification (CSMC) .
Job Type: Full-time
Experience:
Quality Assurance: 3 years (Preferred)
Education:
Bachelor's (Preferred)"
Trainee Software Engineer,Islamabad,DevoMech Solutions,None,Organic,"DevoMech Solutions is hiring human resources for full-time employment in Islamabad.
Trainee Software Developer Eligibility Criteria:
- BS in CS/CE/EE or similar
- Job Experience: 0-1 year
- Hands-on experience in interesting projects.
- Experience in Python, MySql, and PHP.
- Interest in Desktop Application Development.
Good to have:
- Interest in Web-development, Web Applications.
- Interest/Experience of Wordpress.
- Interest in using Photoshop (or similar) for Web designing.
DevoMech Solutions is a startup providing services in Mechanical, Electronics and Firmware/Software Development. We design and prototype innovative products for our overseas clients. We believe in uplifting the skillset of our team which enables us to deliver exceptional quality products to our clients.
Please email your resume and portfolio at usmansardar@devomech. com
Job Types: Full-time, Internship, New-Grad"
Software Engineer .Net - Fullstack,Islamabad,"Global Rescue, LLC",None,Organic,"Title: SOFTWARE ENGINEER .NET - FULLSTACK


COMPANY DESCRIPTION
Global Rescue is a worldwide provider of integrated medical, security, intelligence, and crisis response services to enterprise, government, and consumer clients. Founded in 2004 Global Rescue’s unique operational model provides best-in-class services that identify, monitor, and respond to threats and emergencies. Global Rescue has an exclusive relationship with Johns Hopkins Medicine and has provided medical, security, and evacuation support to clients during every globally significant crisis of the last decade, including the Arab Spring; the Japanese tsunami; the Haitian earthquake; Georgia’s invasion by Russia; and the Mumbai terrorist attacks. For more information, please see www.globalrescue.com.
RESPONSIBILITIES
Develop moderately complex software in C# and other selected languages/tools for Global Rescue products and/or applications consistently following GRID Systems coding standards and in accordance with applicable software development methodology and release.
Provide reliable solutions to a variety of problems using sound problem-solving techniques.
Perform technical root cause analysis and outline corrective action for a given problem.
Participate in product and/or application definition activities including feature analysis and system tradeoffs.
Document solution design, interfaces, implementations and dependencies.
Design and Develop a solution (JavaScript and plugins, etc.) that can extend Microsoft Dynamics functionality.
Design and Develop Web Services that expose Dynamics functionality to other systems.
Create & execute unit tests to ensure the functional integrity of solutions.
Assist and guide Junior Software Engineers of the team in resolving technical challenges and serve as a mentor for less experienced software engineers.
Learn and adopt new frameworks, tools, and technologies.
Database Designing, SQL Programming, and reporting services development.
Any other technology-related tasks as necessary.
IDEAL QUALIFICATIONS
Bachelor's in IT/Computer Science from well-reputed university/institution.
3 years plus Dot Net application development experience.
Thorough hands-on knowledge & understanding of:
Dot Net MVC framework 4.0 plus, using C# and ASP.net
Entity Framework and ADO.net
Windows Communication Framework
Object-Oriented Analysis and Design
HTML, CSS, JavaScript, JQuery
Database Designing and TSQL Programming for MS SQL
Basic Design Patterns
Practical experience working with and/or developing CRM/ERP systems is a must.
Practical knowledge of Microsoft Dynamics is required.
Practical knowledge and experience of extending Dynamics functionality (via plugins and Web Services) will make you an ideal candidate for this job.
Practical knowledge of SharePoint Server is a must.
Excellent problem-solving skills.
C#, ASP.net, Typescript/Angular, Dot net MVC Framework 4.0 plus, HTML, CSS, JavaScript, JQuery, SharePoint, MS SQL Server 2008 plus.
Location: Islamabad, Pakistan
Compensation: Salary based on experience + bonus + benefits"
Software Engineer,Islamabad,MFSYS Software & Systems (Pvt.) Ltd.,None,Organic,"SOFTWARE ENGINEER We are looking for a Software Engineer to Design, Develop and Install Software Solutions. He/She will be able to build High-Quality, Innovative and fully performing software in compliance with Coding Standards and Technical Design. Prior work experience in a Banking Environment would be an added advantage. Qualification: BSCS / BEIT Experience level: Fresh to 2 years Skills Required Languages: J2EE, JAVA, EJB and JSF Databases: DB2, MYSQL Servers/ Platform: Tomcat, and Oracle Weblogic 12c and 11g applications will be a big plus.

Kindly share your CVs"
Software Engineer,Rawalpindi,Kamal Laboratories,None,Organic,"Contribute to software design and architecture, including design reviews
Contribute to integration, system, and performance testing, including test tools
Take ownership as a highly motivated member of a scrum team
Assist with troubleshooting customer problems and finding solutions in a timely fashion
Work within a Scrum environment to plan and deliver incremental software in defined sprints
Build strong partnerships with IT Manager,Principle Software Engineer



Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
Intern - Junior Software Engineer / .Net Developer,Islamabad,Noorax,None,Organic,"NoorAX is offering unpaid internship program at their office. People who are willing to build a career in web development should apply.
Job Description
Exceptional skills in logical and analytical thinking required.
Excellent Object Oriented Programming concepts.
Working opportunity on enterprise application in .Net (Web and Desktop)
Have good hands-on experience working on Academic Projects.
Internship for 3 months
In return we offer:
IT Industry experience & Certificate
Opportunity to grow and learn fast.
A friendly and highly conducive work environment



Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
Software Engineer .NET,Islamabad,TauMobility,None,Organic,"Job ID: 1106228
Job Title: Software Engineer .NET
Number of Openings: 1
Location: Islamabad
Employment Start Date: Open

Required Skills
Well-versed with object-oriented programming, .NET and .NET Framework 4.0.
Possess solid web development skills and hands-on experience with HTML, CSS, JavaScript, jQuery, and AJAX.
Strong knowledge and experience in developing database applications using Microsoft SQL Server 2008.
Proficient with Visual Studio 2010 and source control software.

Soft Skills:
Understanding of end-to-end project cycle.
Strong verbal and written communication skills.
Superior organizational and multi-tasking skills.
Ability to work well under pressure and meet tight deadlines effectively.
Ability to take initiative and be proactive, work independently, and also be a good team player.
High level of analytical ability and accuracy.

Personal Attributes:
Strong analytical and documentation skills.
Excellent team and interpersonal skills.
Excellent communication skills (both verbal and written).
A positive thinker with a strong desire to succeed.
Demonstrate the ability to be self-motivated, conscientious, persistent, and able to work independently or with teams, under deadline pressure on multiple projects at a very high level of accuracy and attention to detail.
High standards of ethics and confidentiality to handle sensitive information.
Highly motivated, high energy and enjoys working in a fun environment.
Computer literacy in Microsoft Office (Word, Excel and PowerPoint) and Outlook is a must."
Software Engineer,Islamabad,Teradata,None,Organic,"Requisition Number:
206199

Position Title:
Analytics Consulting II

External Description:
Teradata GDC Pakistan is looking for DevOps Engineer s . As DevOps Engineer, you will be developing new features and helping the project teams to streamline processes—and automating them where applicable . DevOps Engineer Requirements

CountryEEOText_Description:
City:
Islamabad

State:
Islamabad

Community / Marketing Title:
Software Engineer

Job Category:
Consulting

Company Profile:
With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence.

Location_formattedLocationLong:
Islamabad, Islamabad PK"
